player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ryan Kelly,10652,C,ALABAMA,10,100.0,0,103,75.4,91.8,70.2,0,1,334,100.0,100.0,99.9,4,1,0,671,671,0,0,671,346,346,0,0,325,0
Hroniss Grasu,9504,C,OREGON,10,100.0,1,264,81.5,74.8,82.7,0,8,322,100.0,100.0,98.1,4,10,2,669,669,0,0,669,337,337,0,0,332,0
Ereck Flowers,9442,T,MIAMI FL,11,100.0,1,220,79.3,88.7,75.7,3,7,349,100.0,100.0,98.6,9,10,0,666,0,0,666,666,362,362,0,0,304,0
Germain Ifedi,10665,T,TEXAS A&M,10,100.0,2,312,73.0,80.7,66.0,2,12,434,100.0,100.0,97.5,4,18,4,662,0,0,0,662,448,448,0,661,214,0
Adam Bisnowaty,11955,T,PITTSBURGH,10,100.0,0,268,93.3,69.1,94.9,2,10,242,100.0,100.0,97.1,4,13,1,651,0,187,441,651,251,251,0,23,400,0
Laremy Tunsil,10647,T,OLE MISS,10,100.0,1,226,74.7,85.0,69.4,0,6,329,100.0,100.0,98.2,4,9,3,620,0,0,603,620,343,343,0,0,277,17
Jake Fisher,9486,T,OREGON,10,100.0,0,264,72.2,74.4,72.5,3,5,294,100.0,100.0,98.3,5,9,1,617,0,0,617,617,309,309,0,0,308,0
Ty Sambrailo,9492,T,COLO STATE,10,99.8,0,144,87.8,81.4,83.3,2,5,329,100.0,99.7,98.9,0,7,0,584,0,2,548,585,342,343,0,0,242,31
Tyrell Crosby,38897,T,OREGON,12,100.0,2,264,62.8,60.2,65.6,0,12,270,100.0,100.0,96.3,6,16,4,583,0,0,157,583,284,284,0,419,299,7
Will Holden,11912,T,VANDERBILT,12,100.0,0,333,64.6,56.6,66.9,6,13,295,100.0,100.0,96.1,2,21,2,569,0,0,0,569,310,310,0,567,259,2
