player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Greg Gaines,48706,DI,WASHINGTON,12,9,3,,1,0,340,1,0,61.9,81.6,48.5,67.1,88.8,61.6,6,10,0,0,,15.2,5,0,2,0.0,0,3,0,0,0,0,485,485,149,263,9,64,0,0,269,216,0,18,19,2,0,19,0,0,0,
Chris Slayton,48713,DI,SYRACUSE,12,3,2,,0,0,304,0,0,74.5,78.0,70.0,68.5,77.7,50.2,10,11,0,0,,17.6,6,0,1,0.0,0,3,0,1,0,2,598,597,91,493,0,13,0,1,318,278,0,25,25,8,0,24,0,0,0,
Kingsley Keke,48718,DI,TEXAS A&M,12,16,2,,0,0,312,2,0,59.4,85.2,85.3,75.8,85.8,81.4,2,18,0,0,,2.2,1,0,0,0.0,0,1,0,0,0,0,501,501,125,322,0,54,0,0,279,222,0,19,29,1,0,21,0,0,0,
Breeland Speaks,48727,DI,OLE MISS,12,15,1,0.0,0,0,226,1,0,59.3,74.0,0.0,67.5,82.0,69.6,10,18,0,0,,13.3,8,0,7,39.6,0,8,0,22,0,7,590,566,10,102,340,114,0,24,267,316,2,35,37,2,1,36,0,0,0,
Rasheem Green,48731,DI,USC,12,5,3,,0,0,326,0,0,66.0,68.3,75.5,72.8,59.1,54.3,7,24,0,0,,16.7,6,0,1,0.0,0,6,0,4,0,0,717,713,6,547,67,93,0,4,410,307,0,26,25,2,0,37,0,0,0,
Taven Bryan,48753,DI,FLORIDA,11,8,0,,0,0,163,0,0,58.6,80.4,12.2,81.9,80.6,56.2,7,19,0,0,,15.8,6,0,6,0.0,0,4,0,1,0,2,547,546,27,511,0,8,0,1,267,278,0,24,24,2,0,30,0,0,0,
Deadrin Senat,48815,DI,USF,11,13,0,,0,0,327,0,0,71.7,85.8,33.4,69.7,91.0,75.0,3,15,0,0,,4.1,2,0,3,0.0,0,3,0,1,0,0,480,479,274,203,1,1,0,1,261,219,0,33,34,1,0,21,0,0,0,
Michael Dogbe,48850,DI,TEMPLE,11,4,0,,0,0,306,0,0,,72.7,57.3,57.2,80.9,80.7,0,6,0,0,,5.3,1,0,1,0.0,0,1,0,2,0,0,331,329,44,259,5,21,0,2,166,165,0,11,14,1,0,7,0,0,0,
Daylon Mack,48933,DI,TEXAS A&M,12,2,1,,0,1,312,0,0,60.0,80.5,56.2,69.4,83.0,79.4,2,7,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,319,318,61,236,0,21,0,1,131,188,0,13,13,4,0,10,0,0,0,
Justin Jones,48940,DI,NC STATE,12,8,0,,0,0,248,0,0,62.6,75.3,50.4,64.0,82.8,62.2,2,13,0,0,,11.5,3,0,2,0.0,0,3,0,0,0,5,533,532,6,506,0,20,0,1,317,211,0,13,15,5,0,18,0,0,0,
Renell Wren,48953,DI,ARIZONA ST,10,5,0,,0,0,110,0,0,65.5,72.6,57.8,66.0,73.5,79.8,0,14,0,1,,0.0,0,0,1,0.0,0,1,0,1,0,1,318,317,72,240,0,5,0,1,184,133,0,10,11,2,0,15,0,0,0,
Vita Vea,48956,DI,WASHINGTON,12,6,3,,0,0,340,0,0,59.5,92.6,30.3,85.7,94.4,73.2,9,27,0,0,,7.5,3,0,3,0.0,0,3,0,0,0,0,491,490,101,282,6,101,0,1,281,210,0,28,31,2,0,39,0,0,0,
Tim Settle,48966,DI,VA TECH,12,8,3,,0,0,337,0,0,65.1,86.2,85.2,76.4,85.5,46.8,5,18,0,0,,16.7,7,0,0,0.0,0,5,0,4,0,2,605,599,79,488,0,32,0,6,326,277,1,24,27,9,0,28,0,0,0,
