player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jalen Myrick,11977,CB,MINNESOTA,12,1,0,51.4,0,1,225,0,0,73.9,71.5,84.2,43.9,54.2,48.3,0,2,1,1,19.0,29.4,5,7,1,84.7,18,0,0,12,371,271,394,0,0,0,0,0,1,394,5,118,10,3,11,1,35,2,3,194,41,10.8
Jack Tocho,12000,CB,NC STATE,12,1,1,52.9,0,0,248,0,0,74.4,75.6,52.2,64.9,75.3,88.1,0,2,0,1,33.0,2.6,1,5,2,83.5,27,0,0,74,681,375,769,0,0,0,0,0,4,769,6,388,10,7,36,0,51,2,3,317,59,11.7
Kevin King,12506,CB,C MICHIGAN,12,6,0,89.3,0,2,134,0,0,72.4,72.7,89.0,44.6,76.4,76.3,0,7,0,2,20.0,11.3,6,0,0,81.7,25,0,0,177,14,260,575,0,0,0,0,0,2,575,32,283,382,20,41,2,28,7,1,221,112,8.8
Ken Webster,12955,CB,OLE MISS,12,6,0,75.0,0,0,226,0,0,71.8,71.6,6.5,60.0,72.4,89.7,0,0,0,0,33.0,0.0,0,2,1,130.5,12,0,0,13,244,145,277,0,0,0,0,0,17,277,1,131,3,0,16,0,16,0,1,173,28,14.4
John Kelly,14730,CB,MIDDLE TN,10,1,0,60.0,0,0,224,0,0,69.1,68.6,79.1,58.2,65.0,64.9,0,1,0,0,17.0,14.3,1,0,0,76.3,3,0,0,14,25,63,94,0,0,0,0,0,27,94,12,19,28,2,5,0,5,1,0,29,8,9.7
Brandon Allen,18759,CB,N TEXAS,1,0,0,,0,0,251,0,0,63.0,63.4,70.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,6,6,7,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,
David Moore,22485,CB,BALL ST,8,0,0,50.0,0,1,117,0,0,51.8,53.6,0.0,,69.0,58.1,0,0,0,0,23.0,18.2,2,0,1,68.2,7,0,0,26,132,75,159,0,0,0,0,0,0,159,0,84,1,1,9,0,14,0,0,82,14,11.7
Nick Nelson,28495,CB,HAWAII,9,7,0,58.5,1,2,180,0,0,67.1,67.4,85.6,69.8,61.9,45.9,0,0,0,0,81.0,21.2,11,3,3,107.2,38,0,0,35,531,275,585,0,0,0,0,0,3,585,3,307,16,13,34,1,65,0,4,560,248,14.7
Russell Gage,44771,CB,LSU,2,1,0,0.0,0,0,211,0,0,64.7,65.3,71.4,,60.0,73.5,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,0,11,6,11,0,0,0,0,0,0,11,0,5,0,0,0,0,1,0,0,0,0,
Chris Jones,49339,CB,NEBRASKA,2,0,0,100.0,0,0,238,0,0,55.2,58.8,74.0,,69.6,76.2,0,0,0,0,11.0,0.0,0,0,0,147.9,2,0,0,0,23,15,23,0,0,0,0,0,0,23,0,8,0,1,2,0,2,0,1,20,3,10.0
