player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julian Okwara,44152,ED,NOTRE DAME,12,5,0,75.0,0,1,258,0,0,67.9,82.0,54.6,85.0,73.1,68.6,12,37,0,1,12.0,17.9,7,0,2,46.4,6,8,0,3,0,37,554,548,0,1,546,1,0,6,304,213,3,25,27,4,8,57,0,41,19,6.8
Jachai Polite,44383,ED,FLORIDA,12,3,2,100.0,2,4,163,0,0,83.1,89.9,33.6,90.7,76.7,77.4,6,23,0,0,-2.0,9.4,3,0,3,79.2,1,9,0,10,1,31,479,465,1,0,464,0,0,14,240,208,3,30,26,8,1,38,0,-2,2,-2.0
Brian Burns,44522,ED,FLORIDA ST,12,10,4,50.0,0,3,167,1,0,64.8,88.9,79.2,90.5,78.3,77.3,10,48,0,0,16.0,6.3,3,0,1,103.1,2,8,0,39,0,40,840,799,0,0,790,9,0,41,424,376,0,32,35,6,4,66,1,19,7,9.5
D.J. Wonnum,44550,ED,S CAROLINA,5,2,0,,0,0,289,1,0,78.0,65.7,48.8,62.5,62.5,65.8,0,5,0,0,,12.5,1,0,1,0.0,0,2,0,2,0,3,216,212,0,4,157,51,0,4,109,104,2,5,5,1,0,7,0,0,0,
Joe Jackson,44615,ED,MIAMI FL,12,9,1,,0,0,220,0,0,85.0,86.7,43.6,85.9,75.3,65.4,11,31,1,1,,18.8,6,0,3,0.0,0,12,0,24,1,13,584,559,0,7,525,27,0,25,289,282,0,24,17,6,0,54,0,0,0,
Jaylon Ferguson,48362,ED,LA TECH,12,3,3,100.0,0,1,208,1,0,78.9,81.4,28.8,85.1,71.7,62.2,13,31,0,0,-5.0,17.5,7,0,4,79.2,1,14,0,3,0,2,585,582,0,2,555,25,0,3,297,286,0,37,30,8,1,58,0,-5,1,-5.0
Anthony Nelson,48405,ED,IOWA,12,6,0,100.0,0,0,192,1,1,69.5,86.1,69.7,84.5,78.5,77.7,13,25,0,0,2.0,8.6,3,0,1,79.2,1,10,0,8,0,14,556,546,0,1,440,105,0,10,318,224,1,27,26,2,1,48,0,2,6,2.0
Jonathan Greenard,48407,ED,LOUISVILLE,1,0,0,,0,0,210,0,0,,64.7,71.6,63.8,60.9,,0,1,0,0,,,0,0,0,0.0,0,0,0,1,0,0,10,9,0,0,6,3,0,1,6,4,0,0,0,0,0,1,0,0,0,
Jalen Jelks,48426,ED,OREGON,11,15,2,,0,0,264,1,0,76.1,74.5,71.8,66.4,74.4,52.6,8,27,0,0,,15.4,10,0,1,0.0,0,3,0,6,1,6,625,615,6,115,275,219,0,10,342,277,1,34,40,4,0,38,0,0,0,
James Smith-Williams,48455,ED,NC STATE,11,4,1,100.0,0,0,248,1,0,59.9,71.3,71.3,69.1,71.2,55.7,3,28,0,0,7.0,18.5,5,0,1,95.8,1,7,0,10,0,22,534,522,0,0,479,43,0,12,320,192,1,18,18,3,1,38,0,7,6,7.0
Justin Hollins,48498,ED,OREGON,12,19,3,83.3,1,4,264,1,0,77.9,80.8,53.9,83.4,73.5,79.5,8,21,0,1,30.0,10.0,6,3,3,93.4,10,6,0,67,7,160,847,707,0,0,707,0,0,140,307,380,64,30,35,5,12,35,1,97,95,9.7
Chase Winovich,48523,ED,MICHIGAN,12,8,1,100.0,0,0,222,1,0,66.0,90.0,42.5,90.0,84.3,63.3,13,33,0,0,19.0,12.0,6,0,3,118.8,1,4,0,3,0,0,582,579,10,16,504,49,0,3,316,266,0,37,36,9,1,50,0,19,8,19.0
Oshane Ximines,48538,ED,DOMINION,12,7,3,0.0,0,4,263,0,0,72.6,90.2,44.6,91.7,74.7,56.6,6,38,0,1,,17.6,9,0,3,0.0,0,11,0,17,0,6,666,647,0,2,633,12,0,19,347,313,1,39,35,7,1,55,0,0,0,
Kingsley Keke,48718,ED,TEXAS A&M,12,12,1,,0,1,312,1,0,62.7,80.0,87.5,65.4,87.6,71.1,6,17,0,0,,9.5,4,0,0,0.0,0,5,0,1,0,1,642,641,76,170,312,83,0,1,396,245,0,29,26,5,0,28,0,0,0,
Marlon Davidson,48741,ED,AUBURN,12,11,2,,2,0,115,0,0,73.8,74.9,30.4,60.3,85.9,70.9,7,21,0,0,,13.6,6,0,4,0.0,0,4,0,2,0,4,636,631,0,55,441,135,1,5,347,285,0,23,27,0,0,32,0,0,0,
L.J. Collier,48822,ED,TCU,10,12,1,100.0,1,0,305,0,0,63.4,81.4,43.6,78.7,80.1,60.9,10,33,0,0,15.0,18.2,8,0,3,118.8,1,5,0,1,0,10,611,609,0,1,488,120,0,2,319,282,0,20,24,4,1,48,0,15,18,15.0
Zach Allen,49605,ED,BOSTON COL,12,14,9,50.0,2,1,121,2,0,75.4,90.9,22.7,90.3,87.7,67.8,18,31,0,1,-12.0,12.7,8,0,7,16.7,1,5,0,7,0,6,811,803,0,29,618,156,0,8,454,351,1,39,41,10,2,54,0,-12,-3,-12.0
Christian Miller,50078,ED,ALABAMA,12,9,0,60.0,0,0,103,1,0,64.0,78.0,44.5,77.5,76.8,84.3,10,14,0,0,23.0,3.7,1,0,2,119.2,3,9,0,27,0,47,409,375,0,0,375,0,0,34,188,174,7,20,17,3,5,33,1,33,24,11.0
Gerri Green,50228,ED,MISS STATE,12,3,0,42.9,0,0,227,0,0,48.1,59.2,86.6,59.8,67.1,84.8,2,10,0,0,26.0,0.0,0,0,0,76.5,3,4,0,5,0,21,407,401,0,2,343,56,0,6,205,181,1,15,17,5,7,16,0,65,58,21.7
Josh Hines-Allen,50235,ED,KENTUCKY,12,11,0,68.4,1,5,202,2,0,81.3,92.6,31.9,94.4,85.4,90.2,11,28,0,0,34.0,5.8,4,4,4,87.6,13,14,0,57,4,143,698,581,0,0,581,0,0,117,230,325,56,48,54,4,19,53,0,130,102,10.0
Byron Cowart,50588,ED,MARYLAND,12,8,0,,0,0,215,0,0,62.6,68.9,3.9,64.6,74.7,60.1,4,21,0,2,,10.8,4,0,6,0.0,0,2,0,0,0,1,558,557,0,14,254,289,0,1,272,285,0,23,25,1,0,27,0,0,0,
Charles Omenihu,50612,ED,TEXAS,12,5,1,50.0,2,1,311,1,0,65.4,81.0,30.3,74.7,84.4,72.9,8,21,0,0,6.0,17.1,7,0,4,56.3,1,7,1,1,0,14,718,717,0,107,145,465,0,1,410,294,0,33,29,6,2,36,0,6,3,6.0
A.J. Epenesa,56369,ED,IOWA,12,3,3,0.0,0,3,192,1,1,53.8,87.0,25.0,87.5,83.4,51.8,8,25,0,0,,23.1,6,0,3,39.6,0,9,0,3,0,5,378,374,0,1,328,45,0,4,225,148,0,22,17,6,1,42,0,0,0,
Chase Young,56436,ED,OHIO STATE,12,1,4,,2,1,260,0,0,63.2,83.7,14.4,90.0,74.8,86.1,13,41,0,0,,0.0,0,0,6,0.0,0,7,0,0,0,10,643,642,0,7,587,48,0,1,376,257,0,24,22,6,0,61,0,0,0,
Yetur Gross-Matos,56444,ED,PENN STATE,12,8,0,0.0,1,2,266,1,0,69.6,76.0,74.1,68.6,76.0,73.4,3,13,0,0,,8.9,4,0,1,39.6,0,7,0,0,0,5,582,579,5,39,496,39,0,3,300,277,1,29,33,12,1,23,0,0,0,
Isaiah Buggs,56503,ED,ALABAMA,12,9,2,,0,2,103,1,0,64.9,78.3,68.7,71.5,77.8,68.4,4,17,0,0,,16.0,4,1,1,0.0,0,12,0,0,0,1,491,491,0,108,251,132,0,0,280,210,0,20,12,3,0,33,0,0,0,
Tyler Johnson,56520,ED,ARIZONA ST,11,2,1,85.7,0,2,110,1,0,71.1,54.3,17.8,58.1,49.4,61.9,1,17,0,0,18.0,12.5,3,0,3,99.4,6,4,0,94,2,44,412,303,0,1,297,5,0,109,181,187,13,15,19,4,7,22,0,55,53,9.2
Jonathan Garvin,56703,ED,MIAMI FL,12,12,3,50.0,0,0,220,2,1,55.0,77.6,57.0,73.3,79.2,64.5,5,19,0,0,27.0,13.7,7,0,2,95.8,1,6,0,25,3,7,604,574,0,1,542,31,0,30,287,310,2,32,32,10,2,30,0,27,28,27.0
Alton Robinson,56857,ED,SYRACUSE,12,6,1,0.0,1,1,304,3,0,59.0,81.5,18.6,89.8,73.3,65.3,14,33,0,0,,15.4,6,0,6,39.6,0,9,0,9,0,16,713,703,0,4,697,2,0,10,380,317,0,29,27,8,1,56,0,0,0,
James Lynch,56962,ED,BAYLOR,12,7,0,100.0,0,0,118,0,0,77.3,77.8,56.1,63.0,82.9,74.2,8,13,0,0,17.0,14.3,6,0,2,118.8,1,4,0,7,0,6,592,585,99,179,196,111,0,7,326,260,0,29,29,5,1,25,0,17,19,17.0
Mykal Walker,57834,ED,FRESNO ST,12,9,5,50.0,0,2,169,1,0,84.5,82.0,90.9,63.3,86.1,86.7,5,14,1,1,17.0,5.0,3,2,0,16.7,3,3,0,80,1,111,636,529,0,2,527,0,1,107,259,266,23,41,48,11,6,22,0,18,7,6.0
K'Lavon Chaisson,57945,ED,LSU,1,0,0,,0,0,211,0,0,58.8,63.1,81.9,56.5,69.9,62.2,0,3,0,0,,20.0,1,0,0,0.0,0,1,0,0,0,10,61,57,0,0,57,0,0,4,26,25,4,3,4,0,0,4,0,0,0,
Mike Edwards,75772,ED,NEW MEX ST,3,0,0,,0,0,242,0,0,60.0,53.6,78.0,56.2,52.6,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,26,26,0,0,26,0,0,0,8,18,0,0,1,0,0,0,0,0,0,
Isaiah Johnson,82263,ED,FRESNO ST,9,4,0,,0,0,169,0,0,74.1,71.6,84.5,67.9,61.6,75.3,1,9,0,0,,9.1,1,0,0,0.0,0,2,0,12,0,12,149,128,0,0,128,0,0,21,100,37,9,3,6,0,0,12,0,0,0,
Anfernee Jennings,25449,ED,ALABAMA,12,14,3,71.4,4,1,103,0,0,67.1,85.4,0.0,88.1,86.8,63.1,15,20,0,1,37.0,14.5,10,2,10,63.1,5,7,0,43,0,59,579,528,0,8,503,17,0,51,271,249,7,42,45,4,7,42,0,69,39,13.8
Jabari Zuniga,26449,ED,FLORIDA,5,3,0,,0,0,163,0,0,,90.7,0.0,88.8,90.3,55.5,2,7,0,0,,16.7,2,0,2,0.0,0,4,0,0,0,0,140,139,0,42,57,40,0,1,88,52,0,11,7,3,0,13,0,0,0,
Zack Baun,34632,ED,WISCONSIN,12,5,0,77.8,1,2,349,0,0,88.8,90.6,17.3,90.9,81.6,75.3,12,24,1,1,22.0,12.0,6,2,6,56.7,7,12,0,22,0,87,620,559,0,1,558,0,0,61,303,230,39,44,39,8,9,48,0,64,23,9.1
Trevis Gipson,35241,ED,TULSA,12,6,0,,0,2,320,0,0,60.9,87.8,72.2,89.7,78.5,66.3,5,28,0,0,,9.3,4,0,1,0.0,0,8,0,0,0,0,628,626,0,148,338,140,0,2,311,317,0,35,33,7,0,41,0,0,0,
Kenny Willekes,35624,ED,MICH STATE,12,13,0,,3,0,223,2,1,70.2,78.0,2.6,72.7,83.5,76.5,4,31,0,0,,8.7,4,0,8,0.0,0,7,0,4,0,5,695,691,0,8,641,42,0,4,398,292,0,25,29,5,0,42,0,0,0,
Darrell Taylor,36001,ED,TENNESSEE,12,7,2,50.0,0,1,307,1,0,78.9,82.2,73.5,87.5,67.4,65.0,3,31,0,0,14.0,17.9,7,1,1,59.4,2,6,0,15,3,35,575,542,0,0,538,4,0,33,263,277,14,24,25,1,4,40,0,15,14,7.5
