fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,50727,88,170,293,10.4,1,0,0,74.2,85.0,0,2,328,11,64.3,0,13,104,0,0,3,0,267,158,24,0,13,88,5.6,0,Cody Barton,1,0,73,69.6,83.9,1,7,LB,61.9,125.2,4,0,10,UTAH,53,12,76.9,25.0,23,0,0,2,381
0,50739,25,432,814,10.4,1,0,3,79.6,86.0,0,15,326,26,50.3,0,45,271,1,0,9,0,745,338,65,9,32,25,13.6,0,Cameron Smith,2,1,196,73.4,70.8,2,12,LB,67.2,109.8,0,0,26,USC,69,12,81.3,37.0,69,0,0,4,839
0,50809,7,61,115,7.2,0,0,1,69.6,79.2,0,1,176,4,70.0,0,5,43,0,1,0,0,110,53,4,1,7,7,4.8,0,Terrell Lewis,0,0,32,72.4,78.7,0,1,LB,68.9,92.3,0,0,6,GA TECH,8,7,85.7,19.0,16,0,0,0,122
1,50810,58,347,800,9.4,1,0,7,71.9,62.6,2,9,102,23,78.1,0,39,329,0,0,9,0,684,396,112,4,45,58,8.4,1,Ulysees Gilbert,1,2,273,76.4,86.3,2,23,LB,72.3,93.4,7,0,35,AKRON,115,12,77.8,43.0,75,0,1,4,858
0,50812,7,289,568,8.0,2,0,1,73.0,85.7,2,8,340,12,81.5,0,19,176,0,1,8,0,551,245,16,3,33,7,14.3,0,Keishawn Bierria,2,0,142,74.2,62.9,0,10,LB,64.1,79.9,1,0,22,WASHINGTON,41,12,66.7,22.0,36,0,0,0,575
0,50851,128,388,694,8.4,1,0,9,72.6,87.0,0,8,315,27,67.5,0,29,253,2,0,11,0,661,346,32,1,36,128,8.7,0,Jordyn Brooks,0,1,197,70.9,81.1,1,20,LB,64.4,93.6,0,0,30,TEXAS TECH,88,11,83.3,18.0,57,0,0,0,822
0,50879,37,291,762,12.1,2,0,5,79.9,59.7,0,16,335,30,69.7,0,49,375,0,0,9,0,724,397,38,4,38,37,12.2,1,Micah Kiser,2,0,280,73.3,70.6,1,20,LB,54.7,116.6,6,0,31,VIRGINIA,111,12,81.6,37.0,85,0,0,0,799
0,50884,54,339,786,8.4,0,0,4,80.7,63.7,0,15,311,23,65.1,0,57,160,1,0,17,0,730,366,55,5,24,53,12.7,1,Malik Jefferson,1,0,100,78.2,71.1,0,26,LB,67.5,94.4,5,1,19,TEXAS,135,12,79.2,22.0,80,0,0,0,840
0,50892,11,276,562,8.2,0,0,2,90.7,87.1,0,3,173,15,76.3,0,59,213,0,0,8,0,543,258,19,5,32,11,3.0,0,Roquan Smith,3,0,181,91.7,90.1,1,16,LB,86.7,104.8,6,0,26,GEORGIA,39,12,81.3,32.0,83,0,0,0,573
0,50897,0,70,135,9.1,0,0,0,64.1,77.5,0,3,245,2,57.9,0,8,91,0,0,1,0,123,63,11,1,13,0,13.0,0,Andre Smith,1,1,73,70.1,67.4,1,1,LB,72.5,88.9,0,0,10,N CAROLINA,2,2,76.9,21.0,18,0,0,1,135
0,50905,72,324,676,12.9,0,0,5,80.4,87.7,2,8,337,16,73.8,0,61,297,0,2,13,0,647,344,26,10,33,72,8.1,0,Tremaine Edmunds,1,0,243,77.8,86.4,2,24,LB,62.9,117.9,6,0,23,VA TECH,80,12,69.7,60.0,75,0,0,0,748
0,50932,10,193,468,7.3,1,0,0,62.5,83.5,0,5,115,18,67.1,0,32,110,0,1,2,0,452,248,11,2,19,10,7.5,0,Deshaun Davis,2,0,97,72.9,79.7,0,6,LB,80.8,90.8,4,0,15,AUBURN,37,12,78.9,26.0,44,0,0,2,478
0,50950,8,322,711,11.1,0,0,1,87.7,56.1,3,7,120,16,69.3,0,60,321,1,0,10,0,684,316,25,3,33,8,5.8,1,Leighton Vander Esch,2,2,206,86.0,88.6,1,14,LB,74.1,92.0,3,0,29,BOISE ST,81,12,87.9,34.0,98,0,0,0,719
0,50954,15,306,663,12.0,0,0,7,60.3,85.8,1,9,300,18,70.6,0,33,263,0,0,5,0,619,323,36,2,30,15,11.1,0,Bobby Okereke,3,1,168,65.1,79.6,0,16,LB,64.3,85.8,4,0,22,STANFORD,49,12,73.3,32.0,54,0,1,8,678
0,50959,16,338,596,10.4,0,0,5,75.8,85.3,0,12,305,15,59.3,0,42,207,1,1,3,0,491,243,98,4,34,16,13.0,1,Travin Howard,2,1,146,79.6,66.8,2,9,LB,80.7,83.8,1,0,20,TCU,31,10,58.8,61.0,65,0,1,5,612
0,50966,50,281,620,12.3,0,0,4,91.3,57.1,2,10,273,31,58.2,0,47,197,0,0,5,0,568,319,50,11,25,50,8.8,1,Ja'Whaun Bentley,3,1,126,83.7,79.1,0,9,LB,70.6,71.6,0,0,16,PURDUE,70,11,64.0,29.0,72,0,1,2,670
0,50967,16,260,502,8.3,0,0,4,72.6,83.8,1,10,340,19,73.0,0,34,274,0,1,6,0,459,217,41,4,42,16,10.5,1,Ben Burr-Kirven,3,1,161,85.5,76.9,0,11,LB,90.8,83.9,1,0,33,WASHINGTON,41,12,78.6,23.0,66,0,0,0,518
0,51029,7,301,811,12.5,1,0,4,60.2,61.3,0,8,324,17,64.6,0,42,288,0,1,4,0,755,492,53,7,29,7,6.9,2,Kenny Young,2,0,157,62.1,89.9,1,10,LB,63.0,119.5,2,0,23,UCLA,25,11,79.3,36.0,91,0,0,1,818
0,51047,14,179,434,11.1,0,0,1,49.8,42.7,0,13,163,15,61.2,0,28,222,0,0,1,0,407,254,27,6,27,14,19.7,1,Vosean Joseph,1,1,216,44.6,44.2,0,2,LB,42.4,82.6,0,0,20,FLORIDA,15,11,74.1,52.0,38,0,0,0,448
0,51048,17,322,669,7.6,0,0,5,61.1,87.2,0,14,220,14,61.3,0,33,159,0,1,13,0,662,287,4,3,25,17,18.4,0,Shaquille Quarterman,2,0,117,63.4,61.3,0,23,LB,63.4,93.2,5,0,21,MIAMI FL,77,11,84.0,19.0,48,0,0,1,686
0,51055,19,290,807,15.2,1,0,6,77.9,61.7,0,15,180,26,73.9,0,62,197,0,0,17,1,795,429,6,6,20,18,11.0,1,Jahlani Tavai,1,1,131,74.5,76.3,0,30,LB,51.4,76.5,7,0,13,HAWAII,107,12,65.0,39.0,95,0,0,5,826
0,51221,66,283,688,9.5,1,0,0,86.6,34.4,1,11,346,23,68.6,0,46,246,1,0,13,0,562,385,125,9,31,66,10.0,2,Joel Iyiegbuniwe,0,0,191,80.9,75.8,0,15,LB,67.1,99.7,2,0,26,W KENTUCKY,86,12,83.9,41.0,76,0,0,0,754
0,51222,150,340,655,9.3,1,0,1,90.4,87.6,0,9,128,14,68.8,0,41,315,1,6,7,0,310,426,336,10,43,150,9.9,0,Fred Warner,3,1,205,77.8,79.9,0,9,LB,65.6,87.5,1,0,34,BYU,39,13,79.1,35.0,68,0,0,3,805
0,51276,128,322,615,7.1,2,0,3,73.3,64.1,1,14,258,16,67.7,0,34,192,0,1,7,0,299,359,294,6,39,128,16.7,2,Drue Tranquill,2,1,123,82.0,69.0,0,12,LB,90.1,69.6,2,0,27,NOTRE DAME,62,12,69.2,26.0,54,0,0,21,743
0,51485,278,233,525,9.4,1,1,9,80.2,89.6,2,11,185,8,83.5,0,48,253,1,0,21,1,247,382,274,11,37,276,13.1,0,Kaden Elliss,3,0,148,78.2,67.5,1,36,LB,63.9,100.4,6,0,27,IDAHO,188,12,73.0,45.0,65,0,0,4,803
0,51487,85,297,535,8.3,1,0,2,86.4,87.9,0,5,140,13,68.7,0,33,224,1,3,10,0,246,273,282,5,43,85,7.8,0,Dorian O'Daniel,1,2,159,83.1,82.0,1,17,LB,78.5,64.5,5,0,27,CLEMSON,50,12,62.8,43.0,46,0,2,3,620
0,51491,8,361,764,12.3,2,0,3,69.5,85.9,2,18,259,21,74.1,0,37,307,2,7,10,0,700,296,56,6,32,8,18.0,0,Quentin Poling,2,0,154,73.5,49.3,3,19,LB,66.9,137.9,6,0,25,OHIO,115,12,78.1,62.0,61,0,0,0,772
0,51503,5,272,662,16.1,0,0,2,73.7,22.8,1,8,111,26,52.0,0,34,161,1,0,4,0,646,348,16,0,15,5,7.1,2,Dre Greenlaw,0,0,142,69.6,83.0,1,6,LB,64.4,124.6,0,0,10,ARKANSAS,47,12,66.7,62.0,78,0,0,0,667
0,57723,0,3,3,,0,0,0,,66.0,0,0,114,0,,0,0,0,0,0,0,0,2,0,1,0,0,0,,0,Aaron Jones,0,0,0,62.6,,0,0,LB,61.5,0.0,0,0,0,ARMY,0,1,,,0,0,0,0,3
0,57941,0,3,5,,0,0,0,67.1,69.9,0,0,211,0,59.1,0,1,0,0,0,0,0,4,1,1,1,0,0,0.0,0,Patrick Queen,0,0,0,69.4,73.6,0,0,LB,61.1,0.0,0,0,0,LSU,1,1,,,1,0,0,0,5
0,57942,3,39,74,6.0,0,0,1,58.2,74.8,0,1,211,2,68.6,0,5,18,1,0,1,0,70,30,4,0,3,3,12.5,0,Jacob Phillips,0,0,19,65.5,61.2,0,2,LB,66.3,91.7,0,0,3,LSU,8,5,100.0,10.0,5,0,0,0,77
0,12666,110,327,628,9.1,0,0,2,82.2,37.4,1,21,128,24,65.8,0,41,219,0,0,11,1,556,331,55,5,31,109,16.7,2,Sione Takitaki,2,0,111,76.2,59.1,0,15,LB,66.5,96.0,2,0,24,BYU,80,12,77.4,26.0,81,0,0,17,738
0,12744,132,292,474,7.2,0,0,2,55.7,86.7,0,15,225,15,58.5,0,23,230,0,1,5,0,259,262,209,2,41,132,20.8,1,Kamal Martin,1,0,154,60.1,47.8,1,7,LB,62.7,98.2,0,0,32,MINNESOTA,52,12,78.0,30.0,42,0,0,5,606
0,25685,6,292,630,7.9,0,2,2,74.9,53.0,0,11,118,22,72.1,0,39,135,0,0,5,0,588,296,42,4,24,3,10.5,1,Clay Johnston,0,0,61,78.0,75.4,2,8,LB,75.4,112.3,1,1,17,BAYLOR,48,11,70.8,30.0,72,0,0,0,636
0,28081,69,351,630,10.1,1,2,0,73.9,59.5,0,13,260,20,69.4,0,34,161,1,0,14,1,524,284,91,5,31,66,16.7,1,Malik Harrison,1,1,93,70.0,63.5,0,19,LB,62.3,53.3,5,0,16,OHIO STATE,64,11,51.6,21.0,45,0,0,14,699
0,28251,13,398,828,10.7,0,0,4,85.3,35.5,2,15,264,16,69.2,0,50,310,5,0,5,0,770,376,49,7,40,13,12.9,2,Troy Dye,3,1,185,80.3,73.9,3,9,LB,69.6,109.4,0,0,29,OREGON,67,12,72.5,63.0,85,0,0,6,841
