snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,10827,100.0,83.1,111,100.0,6,744,409,98.9,28,1,0,100.0,82.0,3,Sebastian Tretola,321,335,G,80.5,0,7,2,ARKANSAS,335,12,744,0,1,713
0,9616,100.0,77.9,305,100.0,11,733,290,98.1,0,3,1,100.0,77.4,8,Tayo Fabuluje,421,443,T,82.8,0,15,2,TCU,443,11,733,1,727,0
0,9561,100.0,78.7,220,100.0,6,728,346,98.5,0,3,1,100.0,79.0,2,Jon Feliciano,369,382,G,79.2,1,10,182,MIAMI FL,382,12,728,0,61,484
0,11933,100.0,89.3,220,100.0,7,727,346,98.4,727,1,2,100.0,85.3,5,Danny Isidora,367,381,G,82.1,0,10,0,MIAMI FL,381,12,727,0,0,0
0,11789,100.0,70.9,103,100.0,11,723,343,98.0,0,2,1,100.0,74.9,2,Cam Robinson,370,380,T,78.0,2,14,0,ALABAMA,380,12,723,0,720,0
0,10868,100.0,74.6,211,100.0,7,716,437,97.9,0,2,1,100.0,72.3,5,Vadal Alexander,259,279,G,70.4,0,10,0,LSU,279,11,716,0,0,716
705,13267,100.0,73.2,304,100.0,7,705,319,98.4,0,3,1,100.0,74.3,1,John Miller,365,386,C,72.2,0,11,0,SYRACUSE,386,11,705,0,0,0
224,11813,100.0,74.2,211,100.0,7,702,430,98.0,478,1,1,100.0,74.7,5,Ethan Pocic,253,272,G,77.9,0,9,0,LSU,272,11,702,2,0,0
0,10779,100.0,73.3,173,100.0,8,700,394,97.6,0,4,1,100.0,72.4,5,John Theus,295,306,T,70.8,0,13,0,GEORGIA,306,12,700,0,697,3
0,46953,100.0,70.1,341,100.0,12,700,127,97.7,0,3,5,100.0,73.9,3,Cole Madison,544,573,T,78.0,0,20,700,WASH STATE,573,8,700,0,0,0
0,11840,100.0,57.9,318,100.0,12,692,328,96.5,0,2,5,100.0,60.3,5,Antonio Garcia,347,364,T,71.8,0,19,0,TROY,364,12,692,0,692,0
0,11818,100.0,58.5,306,100.0,10,688,275,98.0,0,0,3,100.0,69.4,1,Dion Dawkins,398,413,T,80.7,0,13,0,TEMPLE,413,11,688,0,688,0
0,11870,100.0,92.2,268,100.0,1,684,419,99.4,0,0,1,100.0,91.5,2,Dorian Johnson,251,265,G,83.2,0,2,0,PITTSBURGH,265,12,684,1,0,684
0,10729,100.0,82.7,222,100.0,7,683,314,98.5,182,2,1,100.0,81.7,0,Graham Glasgow,358,369,G,75.6,0,10,0,MICHIGAN,369,11,683,0,0,501
0,9467,100.0,62.5,266,100.0,8,677,258,98.4,0,3,1,100.0,68.2,3,Donovan Smith,402,419,T,76.6,12,12,0,PENN STATE,419,10,677,1,665,0
0,10808,100.0,63.1,226,100.0,14,676,290,97.3,0,2,2,100.0,62.8,6,Fahn Cooper,369,386,T,68.6,0,18,483,OLE MISS,386,12,676,0,193,0
671,10652,100.0,70.2,103,100.0,1,671,325,99.9,0,0,0,100.0,75.4,4,Ryan Kelly,334,346,C,91.8,0,1,0,ALABAMA,346,10,671,0,0,0
669,9504,100.0,82.7,264,100.0,8,669,332,98.1,0,0,2,100.0,81.5,4,Hroniss Grasu,322,337,C,74.8,0,10,0,OREGON,337,10,669,1,0,0
0,9442,100.0,75.7,220,100.0,7,666,304,98.6,0,3,0,100.0,79.3,9,Ereck Flowers,349,362,T,88.7,0,10,0,MIAMI FL,362,11,666,1,666,0
0,10665,100.0,66.0,312,100.0,12,662,214,97.5,0,2,4,100.0,73.0,4,Germain Ifedi,434,448,T,80.7,0,18,661,TEXAS A&M,448,10,662,2,0,0
0,11955,100.0,94.9,268,100.0,10,651,400,97.1,0,2,1,100.0,93.3,4,Adam Bisnowaty,242,251,T,69.1,0,13,23,PITTSBURGH,251,10,651,0,441,187
0,10647,100.0,69.4,226,100.0,6,620,277,98.2,0,0,3,100.0,74.7,4,Laremy Tunsil,329,343,T,85.0,17,9,0,OLE MISS,343,10,620,1,603,0
0,9486,100.0,72.5,264,100.0,5,617,308,98.3,0,3,1,100.0,72.2,5,Jake Fisher,294,309,T,74.4,0,9,0,OREGON,309,10,617,0,617,0
0,9492,100.0,83.3,144,99.7,5,584,242,98.9,0,2,0,99.8,87.8,0,Ty Sambrailo,329,343,T,81.4,31,7,0,COLO STATE,342,10,585,0,548,2
0,38897,100.0,65.6,264,100.0,12,583,299,96.3,0,0,4,100.0,62.8,6,Tyrell Crosby,270,284,T,60.2,7,16,419,OREGON,284,12,583,2,157,0
0,11912,100.0,66.9,333,100.0,13,569,259,96.1,0,6,2,100.0,64.6,2,Will Holden,295,310,T,56.6,2,21,567,VANDERBILT,310,12,569,0,0,0
0,9524,100.0,61.9,163,100.0,6,566,300,98.2,34,3,0,100.0,68.3,1,Chaz Green,254,266,T,78.5,0,9,338,FLORIDA,266,11,566,1,194,0
0,10712,100.0,89.6,248,100.0,4,566,271,98.9,0,0,1,100.0,88.7,1,Joe Thuney,281,295,G,87.7,1,5,0,NC STATE,295,8,566,0,1,564
0,10855,100.0,70.5,187,100.0,7,563,213,98.9,563,0,0,100.0,75.7,0,Ted Karras,330,350,G,89.6,0,7,0,ILLINOIS,350,9,563,0,0,0
0,9585,100.0,71.3,312,100.0,10,531,192,97.0,0,4,3,100.0,68.1,2,Jarvis Harrison,329,339,G,60.1,3,17,0,TEXAS A&M,339,10,531,0,189,335
0,11966,100.0,79.2,324,100.0,5,529,241,97.2,0,2,4,100.0,81.2,1,Conor McDermott,271,288,T,85.7,15,11,2,UCLA,288,10,529,0,512,0
0,10731,100.0,73.1,120,100.0,4,517,253,98.4,0,2,1,100.0,78.2,0,Rees Odhiambo,256,264,T,77.9,1,7,0,BOISE ST,264,8,517,0,515,0
0,9457,100.0,72.5,163,100.0,5,505,297,97.0,0,1,3,100.0,74.4,2,D.J. Humphries,200,208,T,73.6,0,9,0,FLORIDA,208,9,505,0,503,2
0,46131,100.0,82.3,337,100.0,7,497,223,98.6,0,0,0,100.0,79.4,6,Wyatt Teller,258,274,G,77.6,1,7,0,VA TECH,274,11,497,1,0,496
0,46673,100.0,88.6,108,100.0,6,485,299,98.2,485,0,0,100.0,87.1,2,Colby Gossett,168,186,G,75.0,0,6,0,APP STATE,186,8,485,0,0,0
0,27593,100.0,70.0,163,100.0,7,428,238,97.0,0,4,0,100.0,74.5,2,Roderick Johnson,183,190,T,78.1,1,11,427,FLORIDA,190,11,428,0,0,0
0,9677,100.0,74.3,163,100.0,1,341,168,99.1,337,0,1,100.0,75.2,3,Trent Brown,166,173,G,88.1,0,2,4,FLORIDA,173,10,341,0,0,0
61,46104,100.0,62.9,223,100.0,5,277,171,96.5,28,0,1,100.0,62.5,2,Brian Allen,99,106,G,69.8,0,6,0,MICH STATE,106,11,277,0,0,188
0,46195,100.0,62.0,226,100.0,4,249,110,97.4,247,1,1,100.0,62.0,0,Rod Taylor,134,139,G,55.2,0,6,0,OLE MISS,139,12,249,0,0,2
202,27934,100.0,67.6,103,100.0,0,235,128,100.0,33,0,0,100.0,72.4,0,Bradley Bozeman,104,107,C,80.4,0,0,0,ALABAMA,107,8,235,0,0,0
0,11915,100.0,71.6,167,100.0,6,219,96,97.0,0,1,0,100.0,69.7,2,Roderick Johnson,118,123,T,64.5,0,7,0,FLORIDA ST,123,6,219,0,219,0
201,39137,100.0,70.9,111,100.0,0,208,143,99.2,1,1,0,100.0,73.6,1,Frank Ragnow,62,65,C,78.1,4,1,0,ARKANSAS,65,8,208,0,0,2
0,11967,100.0,52.5,327,100.0,3,155,55,97.4,0,0,1,100.0,62.0,1,Kofi Amichia,95,100,T,78.7,4,4,145,USF,100,6,155,0,6,0
0,46647,100.0,69.3,305,100.0,1,151,80,99.3,131,0,0,100.0,67.7,2,Matt Pryor,68,71,G,81.4,0,1,20,TCU,71,8,151,0,0,0
0,46048,100.0,81.1,173,100.0,0,103,74,100.0,0,0,0,100.0,78.4,1,Isaiah Wynn,29,29,G,68.6,3,0,0,GEORGIA,29,8,103,0,0,100
0,11884,100.0,56.1,163,100.0,1,90,53,98.6,0,0,0,100.0,61.7,0,David Sharpe,37,37,T,76.6,0,1,0,FLORIDA,37,5,90,0,90,0
0,46226,100.0,57.3,260,100.0,0,83,67,96.9,0,1,0,100.0,56.0,0,Jamarco Jones,16,16,T,39.4,0,1,0,OHIO STATE,16,5,83,0,83,0
0,46302,100.0,59.7,347,100.0,0,82,71,100.0,0,0,0,100.0,60.3,0,Chukwuma Okorafor,9,11,T,54.1,1,0,81,W MICHIGAN,11,12,82,0,0,0
0,18332,100.0,68.6,208,100.0,0,80,61,97.4,0,1,0,100.0,71.4,0,Josh Robinson,19,19,T,74.2,32,1,8,LA TECH,19,12,80,0,7,33
0,46794,100.0,67.7,115,100.0,0,64,50,100.0,0,0,0,100.0,72.7,1,Braden Smith,14,14,T,83.3,24,0,0,AUBURN,14,8,64,1,40,0
0,46275,100.0,61.3,258,100.0,3,48,24,89.1,0,0,1,100.0,54.4,0,Mike McGlinchey,23,24,T,32.8,1,4,35,NOTRE DAME,24,5,48,0,12,0
