fumble_recovery_touchdowns,player_id,snap_counts_dl,snap_counts_coverage,snap_counts_offball,yards_per_reception,fumble_recoveries,snap_counts_dl_b_gap,hits,grades_run_defense,grades_defense_penalty,forced_fumbles,missed_tackles,franchise_id,assists,grades_pass_rush_defense,safeties,stops,yards,batted_passes,snap_counts_fs,hurries,snap_counts_dl_a_gap,snap_counts_box,snap_counts_run_defense,snap_counts_slot,tackles_for_loss,targets,snap_counts_dl_outside_t,missed_tackle_rate,penalties,player,pass_break_ups,interceptions,yards_after_catch,grades_defense,grades_tackle,touchdowns,total_pressures,position,grades_coverage_defense,qb_rating_against,sacks,snap_counts_dl_over_t,receptions,team_name,snap_counts_pass_rush,player_game_count,catch_rate,longest,tackles,declined_penalties,interception_touchdowns,snap_counts_corner,snap_counts_defense
0,11867,0,279,482,15.7,1,0,0,75.2,34.2,2,4,103,1,64.6,0,11,330,0,1,1,0,32,197,17,1,48,0,12.1,1,Eddie Jackson,3,1,71,72.0,72.9,4,2,CB,70.7,86.3,1,0,21,ALABAMA,6,9,43.8,68.0,28,1,0,432,482
0,11881,0,198,328,12.5,0,0,0,78.0,87.1,0,4,182,5,60.0,0,3,299,0,0,0,0,12,129,234,0,37,0,11.1,1,Howard Wilson,2,3,144,71.1,73.3,1,0,CB,68.7,65.0,0,0,24,HOUSTON,1,9,64.9,30.0,27,1,0,82,328
0,11904,0,353,719,14.1,1,0,1,90.6,86.0,0,4,284,2,78.0,0,15,352,1,12,1,0,57,360,0,3,49,0,7.3,7,Damontae Kazee,4,1,106,82.0,84.8,1,2,CB,76.3,72.8,0,0,25,S DIEGO ST,6,12,51.0,45.0,49,1,0,650,719
0,11907,0,158,312,12.0,0,0,0,90.7,14.0,0,3,220,1,71.8,0,11,144,0,4,0,0,23,151,19,1,23,0,10.7,2,Corn Elder,0,0,43,75.2,71.9,0,1,CB,70.0,71.6,1,0,12,MIAMI FL,3,12,52.2,34.0,24,0,0,266,312
0,11941,0,374,782,14.6,0,0,4,87.4,89.3,0,4,337,1,75.8,0,19,395,0,36,4,0,178,368,341,7,57,0,6.8,2,Chuck Clark,7,0,155,76.1,86.2,1,10,CB,68.1,76.3,2,0,27,VA TECH,40,12,47.4,58.0,54,0,0,227,782
0,11962,0,262,454,14.2,0,0,0,71.3,30.2,0,2,182,2,,0,6,227,0,0,0,0,25,192,6,0,31,0,8.7,3,Brandon Wilson,1,0,82,71.1,73.0,1,0,CB,70.8,86.4,0,0,16,HOUSTON,0,12,51.6,55.0,19,1,0,423,454
0,11971,0,34,91,12.0,0,0,0,67.4,78.6,0,2,167,1,46.6,0,0,12,0,17,1,0,6,55,7,0,3,0,28.6,0,Marquez White,1,0,0,65.4,57.7,0,1,CB,66.9,46.5,0,0,1,FLORIDA ST,2,5,33.3,12.0,4,0,0,61,91
0,11977,0,271,394,10.8,0,0,0,54.2,84.2,1,5,225,1,43.9,0,3,194,0,1,2,0,12,118,10,1,35,0,29.4,1,Jalen Myrick,7,1,41,71.5,48.3,3,2,CB,73.9,84.7,0,0,18,MINNESOTA,5,12,51.4,19.0,11,0,1,371,394
0,12000,0,375,769,11.7,0,0,0,75.3,52.2,0,1,248,1,64.9,0,7,317,1,4,2,0,74,388,10,0,51,0,2.6,2,Jack Tocho,5,1,59,75.6,88.1,3,2,CB,74.4,83.5,0,0,27,NC STATE,6,12,52.9,33.0,36,0,0,681,769
0,12506,0,260,575,8.8,0,0,0,76.4,89.0,2,6,134,6,44.6,0,20,221,0,2,7,0,177,283,382,2,28,0,11.3,0,Kevin King,0,2,112,72.7,76.3,1,7,CB,72.4,81.7,0,0,25,C MICHIGAN,32,12,89.3,20.0,41,0,0,14,575
