avg_time_to_throw,player_id,passing_snaps,grades_run,dropbacks,btt_rate,franchise_id,twp_rate,hit_as_threw,accuracy_percent,spikes,sack_percent,turnover_worthy_plays,yards,completions,pressure_to_sack_rate,grades_offense,avg_depth_of_target,bats,penalties,player,big_time_throws,interceptions,drop_rate,qb_rating,touchdowns,completion_percent,position,ypa,aimed_passes,attempts,scrambles,sacks,drops,def_gen_pressures,team_name,player_game_count,declined_penalties,first_downs,grades_hands_fumble,grades_pass,thrown_aways
2.49,60389,268,50.2,256,5.3,173,1.9,0,76.0,0,5.5,5,2236,161,23.3,82.2,9.4,3,1,Jake Fromm,13,5,5.8,125.0,24,69.1,QB,9.6,225,233,8,14,10,60,GEORGIA,12,0,104,50.4,84.1,5
2.5,17287,251,34.6,244,3.0,265,1.6,0,70.4,0,7.0,4,1660,140,23.0,79.1,9.2,4,0,Jake Luton,7,4,3.4,92.5,10,62.5,QB,7.4,206,224,3,17,5,74,OREGON ST,8,0,81,76.3,81.9,14
2.88,83583,112,57.3,107,6.7,330,8.9,0,57.1,0,12.1,10,673,42,30.2,56.9,11.1,0,1,Brandon Jones,6,5,12.5,67.4,4,49.4,QB,7.9,84,85,9,13,6,43,UTEP,6,0,30,76.3,56.9,1
2.47,40482,64,67.6,63,5.1,337,6.3,0,73.7,0,7.9,4,575,36,26.3,72.2,9.5,1,0,Josh Jackson,3,1,14.3,116.7,5,62.1,QB,9.9,57,58,0,5,6,19,VA TECH,3,0,23,75.8,68.5,0
2.81,40291,75,48.3,69,9.4,103,1.3,2,83.6,0,1.4,1,673,43,5.9,85.6,9.5,0,1,Jalen Hurts,6,2,6.5,137.4,7,74.1,QB,11.6,55,58,10,1,3,17,ALABAMA,10,0,36,36.4,92.9,1
3.52,46513,40,73.6,37,7.4,237,5.0,0,47.8,0,16.2,2,222,9,33.3,76.0,18.7,0,1,Malcolm Perry,2,1,18.2,82.3,2,37.5,QB,9.3,23,24,7,6,2,18,NAVY,9,0,10,90.1,58.1,1
3.49,28301,18,62.5,18,18.2,266,5.6,0,81.8,0,11.1,1,110,8,25.0,63.7,12.8,0,0,Tommy Stevens,2,1,11.1,96.8,1,72.7,QB,10.0,11,11,5,2,1,8,PENN STATE,5,0,7,75.6,72.4,0
2.66,40306,499,50.5,476,7.0,329,5.2,8,70.0,0,4.2,26,3088,264,14.5,73.7,10.0,5,1,Jordan Love,32,16,8.7,79.9,17,60.7,QB,7.1,413,435,21,20,25,138,UTAH ST,12,0,137,29.6,75.7,9
2.49,38584,482,74.5,461,4.7,180,5.4,1,73.9,0,2.6,26,3401,278,13.0,81.0,12.2,6,1,Cole McDonald,21,13,9.2,99.0,29,64.8,QB,7.9,414,429,20,12,28,92,HAWAII,12,0,176,59.5,76.5,8
2.87,28022,480,76.3,463,6.5,211,1.9,0,83.5,0,6.0,9,4363,314,20.0,94.2,9.2,4,3,Joe Burrow,27,6,4.3,142.3,44,78.3,QB,10.9,393,401,34,28,14,140,LSU,12,0,209,67.8,93.4,4
2.59,28237,438,45.9,422,5.0,264,3.0,2,76.1,2,4.5,13,3139,258,20.2,84.6,8.7,3,4,Justin Herbert,20,5,9.8,113.0,31,66.8,QB,8.1,376,386,17,19,28,94,OREGON,12,0,162,51.7,86.2,3
2.7,46565,429,81.3,407,6.6,192,2.1,3,68.9,1,4.7,9,2736,218,16.0,84.4,9.6,4,4,Nate Stanley,26,7,9.9,85.6,14,58.1,QB,7.3,351,375,11,19,24,119,IOWA,12,0,126,81.6,78.7,16
2.64,46444,418,68.4,400,5.6,340,2.6,0,74.4,1,4.8,11,2933,239,17.6,84.1,9.4,3,3,Jacob Eason,22,8,10.8,98.5,22,63.7,QB,7.8,360,375,6,19,29,108,WASHINGTON,12,0,134,59.3,81.5,11
2.67,17287,404,66.8,389,5.1,265,2.0,0,74.1,0,5.7,8,2714,222,24.4,88.5,9.0,11,2,Jake Luton,19,3,6.7,107.6,28,61.8,QB,7.6,321,359,8,22,16,90,OREGON ST,11,0,134,79.3,86.9,27
2.52,25694,346,40.4,337,3.1,166,4.3,2,70.9,0,3.9,15,2238,185,15.7,64.3,9.5,3,2,James Morgan,10,3,15.5,89.3,13,58.0,QB,7.0,309,319,4,13,34,83,FIU,11,0,109,30.0,67.2,5
2.63,60389,360,51.9,336,6.2,173,1.1,4,68.6,1,2.7,4,2381,194,12.2,87.9,10.1,4,2,Jake Fromm,21,3,4.4,103.5,21,61.8,QB,7.6,296,314,13,9,9,74,GEORGIA,12,0,117,71.3,88.9,9
3.39,40291,370,82.5,355,4.4,261,3.0,6,77.9,0,5.1,11,3345,205,14.2,91.8,11.2,4,0,Jalen Hurts,13,6,1.4,137.9,31,71.7,QB,11.7,267,286,49,18,3,127,OKLAHOMA,12,0,167,40.6,87.6,9
2.69,60326,290,56.5,275,5.6,103,2.1,0,79.0,0,3.6,6,2838,180,16.7,90.3,8.7,3,2,Tua Tagovailoa,15,3,6.3,143.2,33,71.4,QB,11.3,243,252,11,10,12,60,ALABAMA,9,0,115,65.5,90.3,6
2.6,40482,264,61.2,251,2.7,215,4.9,4,62.8,0,10.0,13,1278,99,22.9,43.3,8.4,8,2,Josh Jackson,6,6,12.4,74.2,12,47.4,QB,6.1,180,209,15,25,14,109,MARYLAND,10,0,61,49.6,40.7,17
2.63,40713,193,65.7,179,3.9,134,4.7,3,67.3,0,3.4,9,1143,94,8.8,60.0,8.4,1,1,David Moore,7,4,10.5,78.4,5,57.0,QB,6.9,156,165,8,6,11,68,C MICHIGAN,5,0,55,55.2,57.4,5
2.76,40316,150,74.9,145,7.6,121,8.0,1,65.7,1,1.4,12,1250,81,6.1,65.7,9.9,1,1,Anthony Brown,11,2,8.0,103.7,9,58.3,QB,9.0,134,139,4,2,7,33,BOSTON COL,6,0,53,66.4,57.5,2
2.87,28301,167,64.6,161,5.0,227,5.4,1,69.9,0,6.8,9,934,80,19.0,67.7,11.0,0,3,Tommy Stevens,7,5,14.0,87.1,9,59.3,QB,6.9,133,135,15,11,13,58,MISS STATE,8,0,51,65.8,66.0,1
2.97,83583,114,55.8,102,3.0,330,4.4,0,70.1,1,9.8,5,628,47,23.3,57.6,9.8,3,0,Brandon Jones,3,3,13.0,69.7,2,53.4,QB,7.1,77,88,4,10,7,43,UTEP,6,0,28,77.0,58.1,7
