zone_attempts,player_id,elusive_rating,gap_attempts,grades_run,fumbles,elu_yco,grades_run_block,franchise_id,grades_offense_penalty,scramble_yards,total_touches,rec_yards,yards,yco_attempt,breakaway_percent,targets,grades_offense,explosive,routes,penalties,player,yprr,elu_rush_mtf,run_plays,touchdowns,ypa,position,breakaway_attempts,breakaway_yards,grades_pass_route,scrambles,attempts,drops,avoided_tackles,grades_pass_block,receptions,team_name,designed_yards,player_game_count,longest,declined_penalties,elu_recv_mtf,first_downs,grades_hands_fumble,grades_pass,yards_after_contact
90,45664,56.9,115,85.5,2,676.0,51.2,211,50.6,0,231,100,1157,3.13,29.4,18,87.8,25,83,1,Derrius Guice,1.2,38,281,11,5.4,HB,12,340,79.8,0,216,0,38,71.8,15,LSU,1157,11,59,0,4,62,86.0,,676.0
84,38396,155.7,126,92.3,1,1018.0,58.3,300,86.9,0,220,33,1846,4.76,67.6,8,92.2,46,71,0,Bryce Love,0.46,70,232,16,8.6,HB,31,1248,50.7,0,214,2,70,52.0,6,STANFORD,1846,11,75,0,2,61,85.8,,1018.0
98,45914,76.9,109,79.6,2,695.0,49.4,340,86.6,0,226,228,1279,3.34,44.1,22,82.1,38,151,0,Myles Gaskin,1.51,41,238,19,6.1,HB,23,564,80.6,0,208,0,41,67.8,18,WASHINGTON,1279,12,57,0,11,71,77.3,,695.0
121,45791,67.0,71,83.0,0,690.0,59.7,266,86.9,0,247,587,1135,3.45,55.3,58,82.8,27,301,0,Saquon Barkley,1.95,36,281,16,5.7,HB,18,628,82.7,0,200,5,36,58.4,47,PENN STATE,1135,12,80,0,12,54,91.1,72.7,690.0
115,45817,70.0,80,78.1,2,662.0,59.2,120,56.9,0,222,284,1027,3.38,37.7,30,76.1,29,229,1,Alexander Mattison,1.24,40,243,11,5.2,HB,14,387,62.0,0,196,4,40,67.0,26,BOISE ST,1027,12,70,1,6,52,85.3,,662.0
126,40341,102.4,67,83.8,2,652.0,73.4,328,88.3,0,221,234,1011,3.38,32.3,34,81.3,36,237,0,Zack Moss,0.99,56,315,9,5.2,HB,18,327,59.0,0,193,2,56,71.4,28,UTAH,1011,12,31,0,11,68,76.2,,652.0
132,57206,82.2,46,84.3,2,656.0,50.8,167,86.3,0,195,102,921,3.64,37.0,17,86.7,27,104,0,Cam Akers,0.98,39,195,7,5.1,HB,11,341,70.3,0,180,1,39,68.2,15,FLORIDA ST,921,12,63,0,5,50,74.7,87.3,656.0
162,48103,79.7,16,77.1,0,700.0,55.1,248,88.3,0,205,124,1039,3.89,47.3,32,74.9,24,182,0,Nyheim Hines,0.68,33,225,9,5.8,HB,15,491,57.6,0,180,2,33,76.5,25,NC STATE,1039,12,83,0,9,43,91.2,,700.0
122,45783,91.0,55,90.3,0,678.0,63.1,173,85.2,0,180,20,1098,3.81,41.8,3,91.9,35,53,0,Nick Chubb,0.38,42,214,13,6.2,HB,18,459,60.8,0,178,0,42,62.0,2,GEORGIA,1098,12,55,0,1,53,90.7,,678.0
105,45775,25.0,58,62.7,2,427.0,61.0,312,85.1,0,185,180,734,2.57,32.0,33,56.7,12,158,0,Trayveon Williams,1.14,16,214,7,4.4,HB,6,235,29.6,0,166,9,16,68.5,19,TEXAS A&M,734,11,72,0,2,27,72.6,,427.0
116,57366,60.8,45,86.7,1,679.0,63.2,260,85.8,0,184,130,1187,4.14,43.7,23,84.0,36,190,0,J.K. Dobbins,0.68,26,240,7,7.2,HB,18,519,63.7,0,164,0,26,65.9,20,OHIO STATE,1187,12,52,0,1,58,81.7,,679.0
93,39462,105.1,43,90.1,0,634.0,63.4,208,86.4,0,181,183,935,3.96,37.8,24,87.6,30,173,0,Boston Scott,1.06,37,218,8,5.8,HB,16,353,69.2,0,160,0,37,50.3,21,LA TECH,935,12,45,0,11,51,90.5,,634.0
62,26618,79.0,90,83.2,1,518.0,56.2,226,21.9,0,182,244,1010,3.34,47.7,31,84.3,29,167,2,Jordan Wilkins,1.46,32,178,9,6.5,HB,16,482,82.6,0,155,2,32,76.9,27,OLE MISS,1010,12,64,1,11,43,81.2,,518.0
93,45741,26.0,57,68.5,0,380.0,55.3,110,87.1,0,172,81,657,2.48,26.5,31,65.7,15,214,0,Kalen Ballage,0.38,13,209,6,4.3,HB,9,174,54.3,0,153,2,13,63.6,19,ARIZONA ST,657,12,35,0,5,37,90.3,,380.0
97,45810,31.4,43,68.6,3,343.0,58.7,306,84.9,0,154,64,570,2.42,40.4,15,68.4,15,137,0,Ryquell Armstead,0.47,16,185,4,4.0,HB,9,230,57.7,0,142,1,16,79.2,12,TEMPLE,570,12,56,0,4,28,58.0,,343.0
57,35170,76.7,80,78.5,0,543.0,52.4,261,84.9,0,154,283,867,3.93,47.2,19,80.2,27,126,0,Rodney Anderson,2.25,25,190,11,6.3,HB,18,409,79.9,0,138,2,25,78.5,16,OKLAHOMA,867,12,58,0,5,37,90.0,,543.0
100,45859,98.7,37,79.3,1,599.0,55.9,220,51.4,0,155,219,865,4.37,51.4,23,76.2,28,198,1,Travis Homer,1.11,27,188,7,6.3,HB,15,445,62.9,0,137,3,27,71.8,18,MIAMI FL,865,11,64,0,8,39,79.2,,599.0
76,29207,67.2,57,78.9,0,396.0,72.8,221,84.5,0,172,312,719,2.89,31.7,38,82.7,19,138,0,Kenny Young,2.26,32,172,6,5.2,HB,11,228,83.5,0,137,0,32,50.3,35,MIAMI OH,719,11,35,0,8,34,89.9,,396.0
80,45769,49.2,53,76.1,0,504.0,60.0,215,4.2,0,142,60,875,3.68,58.1,7,72.9,21,125,2,Ty Johnson,0.48,19,173,5,6.4,HB,15,508,52.9,0,137,0,19,72.3,5,MARYLAND,875,12,74,1,0,38,90.1,,504.0
58,26408,56.8,76,76.5,2,364.0,69.3,163,39.2,0,146,80,552,2.68,30.3,11,74.3,15,121,1,La'Mical Perine,0.66,28,146,8,4.1,HB,9,167,54.3,0,136,0,28,61.8,10,FLORIDA,552,11,29,0,3,35,67.1,,364.0
92,27589,85.6,21,85.0,0,465.0,58.5,173,83.9,0,127,17,903,3.75,52.2,7,84.7,24,85,1,Sony Michel,0.2,28,140,13,7.3,HB,16,471,54.7,0,124,0,28,67.3,3,GEORGIA,903,11,74,0,1,41,89.2,,465.0
33,45732,39.8,73,77.4,2,370.0,45.3,111,86.8,0,127,171,624,3.16,28.7,12,76.5,17,124,1,David Williams,1.38,11,154,8,5.3,HB,9,179,69.5,0,117,1,11,72.0,10,ARKANSAS,624,12,26,0,5,36,64.4,,370.0
44,41193,127.3,68,81.8,1,632.0,70.4,218,84.9,0,135,212,1034,5.54,60.3,27,79.2,29,167,0,Darrell Henderson,1.27,27,152,8,9.1,HB,15,624,62.1,0,114,3,27,78.2,21,MEMPHIS,1034,11,82,0,4,35,88.7,,632.0
71,35134,135.7,39,86.4,0,587.0,64.5,103,84.2,0,118,66,905,5.34,50.2,9,85.9,21,78,0,Damien Harris,0.85,27,152,11,8.2,HB,11,454,65.3,0,110,1,27,63.3,8,ALABAMA,905,12,75,0,3,37,88.2,,587.0
54,45731,44.4,54,76.3,0,325.0,59.4,103,84.0,0,122,92,549,3.01,28.4,15,75.6,16,84,0,Bo Scarbrough,1.1,13,141,8,5.1,HB,7,156,71.4,0,108,1,13,32.6,14,ALABAMA,549,12,44,0,5,35,87.9,,325.0
76,28011,53.3,14,80.1,1,354.0,62.2,260,83.2,0,101,78,605,3.85,42.5,10,76.9,12,111,0,Mike Weber,0.7,13,127,10,6.6,HB,7,257,59.3,0,92,0,13,53.1,9,OHIO STATE,605,10,82,0,1,34,72.8,,354.0
43,45934,56.2,44,69.5,0,272.0,60.4,268,89.4,0,113,194,398,3.02,27.1,27,74.0,10,141,0,Qadree Ollison,1.38,15,233,5,4.4,HB,5,108,84.5,0,90,0,15,65.8,23,PITTSBURGH,398,12,32,0,6,21,86.6,,272.0
40,57212,121.4,12,83.4,2,329.0,67.0,173,81.7,0,78,129,505,4.98,52.5,15,85.3,16,54,0,D'Andre Swift,2.39,15,107,2,7.7,HB,9,265,75.2,0,66,1,15,78.6,12,GEORGIA,505,12,71,0,4,24,67.0,54.8,329.0
62,45693,150.0,1,86.1,1,305.0,54.0,242,83.2,0,97,344,415,4.69,29.2,42,73.9,11,194,2,Jason Huntley,1.77,23,84,1,6.4,HB,3,121,58.4,0,65,5,23,39.9,32,NEW MEX ST,415,11,50,0,8,20,57.1,,305.0
44,45996,51.4,10,85.1,0,165.0,58.8,220,10.9,0,63,91,427,2.95,56.9,10,81.4,13,70,1,Mark Walton,1.3,7,74,3,7.6,HB,7,243,71.3,0,56,0,7,52.3,7,MIAMI FL,427,4,82,0,4,19,83.0,,165.0
28,44919,25.4,18,62.8,0,129.0,67.8,122,79.7,0,53,24,176,2.69,9.7,7,63.1,2,55,0,Donovan Wilson,0.44,4,67,0,3.7,HB,1,17,56.6,0,48,1,4,71.0,5,BOWL GREEN,176,12,17,0,1,8,82.4,,129.0
31,45953,57.9,11,76.6,0,137.0,67.6,103,81.1,0,55,166,276,3.19,24.3,12,82.6,9,47,1,Josh Jacobs,3.53,4,68,1,6.4,HB,2,67,92.1,0,43,0,4,26.4,12,ALABAMA,276,10,45,0,6,13,81.3,,137.0
21,45913,24.7,16,72.5,0,178.0,57.0,258,78.7,0,39,13,324,4.81,47.2,2,73.4,8,24,0,Dexter Williams,0.54,2,48,4,8.8,HB,4,153,63.6,0,37,0,2,80.7,2,NOTRE DAME,324,8,66,0,0,16,80.5,,178.0
13,40555,270.7,9,78.4,1,145.0,55.2,266,79.3,0,30,26,176,5.8,60.2,10,67.7,7,47,0,Miles Sanders,0.55,11,52,1,7.0,HB,5,106,44.4,0,25,2,11,20.4,5,PENN STATE,176,12,31,0,3,9,44.7,,145.0
14,57136,185.7,4,72.7,0,78.0,58.7,110,77.7,0,21,-4,104,4.33,53.8,3,68.2,5,25,0,Eno Benjamin,-0.16,8,24,1,5.8,HB,3,56,55.3,0,18,0,8,29.1,3,ARIZONA ST,104,10,20,0,1,5,76.8,,78.0
12,45828,60.7,4,64.6,0,55.0,58.6,207,76.1,0,17,9,92,3.44,51.1,1,64.2,2,12,0,Raymond Calais,0.75,3,25,1,5.8,HB,2,47,66.9,0,16,0,3,28.3,1,LA LAFAYET,92,9,31,0,0,4,78.6,,55.0
6,25383,138.3,3,66.3,0,28.0,82.6,328,75.1,0,9,0,35,3.11,0.0,0,72.7,1,3,0,Jordan Howard,0.0,4,19,0,3.9,HB,0,0,57.6,0,9,0,4,71.8,0,UTAH,35,7,11,0,0,1,72.5,,28.0
3,57279,100.0,5,62.0,0,18.0,58.9,211,74.5,0,12,46,31,2.0,0.0,3,69.7,1,4,0,Clyde Edwards-Helaire,11.5,3,12,0,3.4,HB,0,0,91.3,0,9,0,3,75.6,3,LSU,31,4,10,0,3,1,75.1,,18.0
1,45629,0.0,0,56.9,0,2.0,69.4,115,61.6,0,6,34,0,2.0,,5,65.2,0,63,1,Chandler Cox,0.54,0,310,0,0.0,FB,0,0,50.0,0,1,0,0,75.8,5,AUBURN,0,12,0,0,0,0,67.7,,2.0
