player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kai Horton,144418,QB,TULANE,4,58.6,58,62,12.4,2.57,1,1,1.6,50.0,31,0,26,8.8,73,3,23,319,50.5,56.0,56.0,55.6,3,2,75,1,26.9,79.0,9.6,7,4,0,0,3,2,2.7,485,7.8
Jarrett Guest,97997,QB,COAST CAR,5,78.3,60,61,9.2,2.48,1,5,7.4,72.1,44,0,12,6.4,68,3,26,141,73.3,74.0,74.4,63.3,0,2,75,1,8.3,134.3,1.5,1,6,0,0,7,2,2.7,696,11.4
Chubba Purdy,122412,QB,NEBRASKA,5,75.0,48,57,9.4,3.14,3,4,6.6,54.4,31,0,29,13.9,74,5,18,238,30.1,59.5,53.4,67.9,0,3,78,1,24.1,65.1,9.5,7,10,0,6,2,5,6.4,382,6.7
Tate Rodemaker,122414,QB,FLORIDA ST,7,71.4,49,56,8.7,3.07,1,2,3.3,57.1,32,0,23,8.6,63,3,26,167,51.4,71.3,75.9,59.7,0,0,69,4,17.4,117.4,6.3,4,3,0,6,5,2,2.9,510,9.1
Nicco Marchiol,157363,QB,W VIRGINIA,7,67.3,52,53,9.0,2.67,0,0,0.0,56.6,30,0,19,14.3,64,5,13,343,77.7,66.6,55.2,74.0,0,3,71,0,26.3,57.0,7.8,5,5,0,1,2,2,2.8,239,4.5
Carlos Del Rio-Wilson,146687,QB,SYRACUSE,6,56.3,48,51,8.9,2.4,1,0,0.0,51.0,26,0,17,3.7,57,1,13,304,74.3,36.8,29.9,59.6,1,6,60,0,23.5,48.0,7.0,4,2,0,1,3,5,8.3,286,5.6
J.T. Shrout,83562,QB,ARK STATE,2,63.3,49,51,11.2,2.53,0,1,1.9,47.1,24,0,16,22.6,54,7,12,113,70.5,50.0,46.9,59.1,1,2,55,0,6.3,43.5,1.9,1,2,0,1,0,6,10.9,227,4.5
Braylon Braxton,144442,QB,TULSA,6,46.9,49,49,12.5,3.07,0,3,5.8,42.9,21,0,23,8.7,60,2,13,320,77.6,47.9,35.4,68.6,0,6,63,0,26.1,29.3,10.0,6,5,0,0,2,7,11.1,205,4.2
Eddie Lee Marburger,145511,QB,UTSA,3,68.2,44,49,9.3,2.44,0,2,4.0,59.2,29,0,22,3.3,54,1,12,331,71.3,60.4,59.6,59.3,0,1,55,0,18.2,88.8,7.4,4,1,2,3,3,1,1.8,300,6.1
Drew Pyne,122910,QB,ARIZONA ST,2,60.9,46,49,9.0,2.59,1,3,6.0,53.1,26,0,25,7.1,62,2,13,110,26.1,34.4,29.7,61.3,1,3,63,1,44.0,57.6,17.7,11,2,0,1,2,7,11.1,273,5.6
CJ Harris,130594,QB,OHIO,2,61.4,44,49,11.3,2.52,2,1,1.9,51.0,25,0,16,7.4,55,2,19,259,72.9,72.1,65.7,74.0,2,3,58,0,12.5,53.8,3.6,2,4,0,1,2,3,5.2,248,5.1
