player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tanner McLachlan,87645,TE,ARIZONA,12,6.8,11,82.4,42.9,3,7,0,0.0,0,23,109,0,91.2,73.1,70.6,67.7,74.7,70.9,316,3,36,19.1,85,446,1,42,78.5,350,20.6,92,109.3,51,4,8.1,36,502,265,6.3,12.0,1.43
Cade Stover,101486,TE,OHIO STATE,11,8.2,8,80.4,60.0,6,10,0,0.0,0,27,260,1,91.1,40.2,76.9,67.9,81.0,48.4,153,1,49,12.7,40,316,1,41,84.5,267,44.0,139,138.2,51,5,7.6,24,576,284,6.9,14.0,2.16
Ja'Tavion Sanders,144717,TE,TEXAS,12,10.8,3,62.0,45.5,5,11,0,0.0,0,21,311,0,89.5,71.9,70.5,57.5,72.7,64.2,219,1,50,15.0,51,341,1,31,83.0,283,20.5,70,93.9,50,1,15.0,51,502,250,8.1,16.2,1.77
Jermaine Burton,124017,WR,ALABAMA,11,20.6,3,70.2,58.3,7,12,0,0.0,0,27,103,1,90.3,35.8,82.2,,84.8,0.0,0,3,68,0.0,0,246,3,33,97.6,240,19.1,47,125.7,47,7,80.9,199,749,124,3.8,22.7,3.12
Cornelius Johnson,97996,WR,MICHIGAN,12,13.2,4,70.2,87.5,7,8,0,10.8,4,24,222,0,59.6,72.8,71.5,,70.8,0.0,0,1,50,0.0,0,265,0,33,98.1,260,6.8,18,103.4,47,1,93.2,247,503,108,3.3,15.2,1.93
Jordan Whittington,97623,WR,TEXAS,12,6.8,11,71.7,0.0,0,1,1,8.3,3,19,311,0,60.1,73.7,63.9,76.2,63.0,0.0,0,0,31,0.7,2,272,2,33,95.2,259,82.7,225,103.2,46,1,15.8,43,376,186,5.6,11.4,1.45
Theo Johnson,129787,TE,PENN STATE,12,7.4,2,74.4,75.0,3,4,0,5.9,2,17,266,0,74.5,72.2,60.6,55.7,65.3,47.9,149,0,34,11.9,37,311,5,32,84.6,263,38.3,119,135.2,43,6,9.6,30,325,156,4.9,10.2,1.24
Jha'Quan Jackson,101135,WR,TULANE,9,12.1,8,58.5,37.5,3,8,0,11.1,3,15,319,0,58.4,82.7,75.2,,74.0,0.0,0,1,48,0.0,0,178,0,24,96.1,171,81.5,145,116.0,41,4,18.5,33,421,154,6.4,17.5,2.46
Jalen McMillan,131905,WR,WASHINGTON,8,10.1,4,73.5,0.0,0,1,0,16.7,5,12,340,1,43.1,44.4,65.6,,65.5,0.7,1,0,39,0.0,0,146,2,25,92.5,135,91.1,133,133.3,34,3,4.8,7,331,187,7.5,13.2,2.45
Erick All,52595,TE,IOWA,7,8.7,4,61.8,33.3,2,6,0,16.0,4,13,192,1,47.3,27.3,72.4,48.3,76.1,41.3,50,0,34,2.5,3,121,1,21,94.2,114,56.2,68,119.6,34,3,0.0,0,299,128,6.1,14.2,2.62
Ladd McConkey,124030,WR,GEORGIA,7,12.3,7,83.9,33.3,1,3,0,7.1,2,17,173,0,69.5,71.9,81.9,,81.7,0.0,0,0,54,0.0,0,118,0,26,99.2,117,24.6,29,140.3,31,2,75.4,89,423,163,6.3,16.3,3.62
AJ Barner,129433,TE,MICHIGAN,12,8.0,5,77.8,60.0,3,5,0,4.5,1,14,222,0,75.4,70.4,86.0,60.9,72.6,58.4,129,0,22,19.9,44,221,3,21,77.4,171,25.8,57,115.4,27,1,15.8,35,236,107,5.1,11.2,1.38
Tip Reiman,129423,TE,ILLINOIS,12,6.0,2,79.2,25.0,1,4,0,0.0,0,14,187,0,75.2,71.0,60.1,65.1,61.3,62.1,211,0,42,23.5,80,340,1,19,71.5,243,32.6,111,141.5,24,3,4.7,16,203,105,5.5,10.7,0.84
Devin Culp,84080,TE,WASHINGTON,12,8.5,1,73.7,50.0,2,4,0,0.0,0,7,340,0,69.9,69.2,68.4,58.6,66.1,64.2,95,0,30,24.3,36,148,1,14,68.2,101,22.3,33,138.3,19,2,12.2,18,181,124,8.9,12.9,1.79
